"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/c1d54514269o","22 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ddb5/live/0fdeae70-78cf-11ef-9f4e-13c4b72408dd.png.webp","Rayner wants 'fairer' Right to Buy scheme for taxpayer","Housing activist Kwajo Tweneboa calls for the ""damaging"" policy to be axed altogether.","Politics"
"https://www.bbc.com/travel/article/20240930-the-only-place-where-whales-come-to-watch-you","20 hrs ago","https://ichef.bbci.co.uk/images/ic/480x270/p0jtrrlw.jpg.webp","The only place where whales come to watch you","Once nearly hunted to extinction, Pacific gray whales in Mexico's Laguna San Ignacio now seem to be as curious about us as we are about them.","Travel"
"https://www.bbc.com/news/articles/c0jp4xqx2z3o","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/abe8/live/df146720-7aaa-11ef-9f7d-0bfee4646f5a.png.webp","How many migrants have crossed the US border illegally?","As Kamala Harris visits the border, BBC Verify assesses a Trump claim about the Biden administration's immigation record.","World"
"https://www.bbc.com/news/articles/cy0r74j7j1wo","7 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0d1c/live/6253f5e0-6c39-11ef-8589-49d352db8330.jpg.webp","China shifts gear in Africa as it looks to a green future","China looks to invest in clean energy but it is not clear if this will shift the relationship with Africa.","World"
"https://www.bbc.com/news/articles/c781d8y397do","19 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f082/live/43c21480-7662-11ef-8c1a-df523ba43a9a.jpg.webp","'We don’t know if our phones are safe': Lebanon on edge after exploding device attacks","A second wave of communication device explosions killed at least 20 people, Lebanese officials say.","Middle East"
"https://www.bbc.com/sport/articles/cy0glpg38xko","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/3d8e/live/4a0375c0-7caa-11ef-8c1a-df523ba43a9a.jpg.webp","Green Sport Awards 2024 nominees announced","Find out the people and organisations shortlisted for the Green Sport Awards 2024.","Sustainability"
"https://www.bbc.com/news/articles/c0mn24xp443o","2 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ccbb/live/1f4f1620-6933-11ef-8c32-f3c2bc7494c6.jpg.webp","Ten Nigerian protesters charged with treason","Appearing in court, they all denied the charges in relation to last month's deadly demonstrations.","Africa"
"https://www.bbc.com/news/articles/cdx6d654556o","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e801/live/35166170-6a28-11ef-b1b5-b3aeecf7a73c.jpg.webp","'No preaching' and other tactics as China woos African leaders","China is feting African leaders at a summit in Beijing aimed at strengthening ties.","World"
"https://www.bbc.com/news/articles/c4gd5nd5v1xo","1 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9704/live/20dd01d0-6872-11ef-8c32-f3c2bc7494c6.png.webp","Children die in building collapse after Nigeria flooding","Intense floods are battering the West African country - so far at least 179 people have died.","Africa"
"https://www.bbc.com/news/articles/cx2912gz5xgo","8 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f31e/live/976c4580-6aa8-11ef-b43e-6916dcba5cbf.png.webp","A tale of two towers - how fire safety differs at luxury London high-rise and Margate estate","Both buildings have had fires recently, but residents on opposite ends of the economic spectrum tell of very different experiences.","UK"
"https://www.bbc.com/news/articles/c20j40pzjn3o","16 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/84f8/live/d5942e30-7418-11ef-8c1a-df523ba43a9a.jpg.webp","The Shed closure mirrors Scotland's nightclub demise","Clubbers experience their last night at the Shawlands venue - a third of Scottish nightclubs have closed since 2020.","Glasgow & West Scotland"
"https://www.bbc.com/news/articles/c39kwmm3x94o","2 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/697b/live/50115e90-6851-11ef-b43e-6916dcba5cbf.jpg.webp","Will more stars boycott Dubai after rapper Macklemore?","The United Arab Emirates is accused of having links to a paramilitary group, in Sudan, suspected of genocide.","World"
"https://www.bbc.com/travel/article/20240911-the-us-state-where-america-drinks-its-way-to-health","13 Sep 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jptjmp.jpg.webp","The state where 'America drinks its way to health'","Once known as one of the US’s greatest health resorts, the small Texas town of Mineral Wells was recently designated the state's official Wellness Capital.","Travel"
"https://www.bbc.com/news/articles/cwyw8xgeyq3o","16 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/551c/live/08ba4dd0-7414-11ef-b282-4535eb84fe4b.jpg.webp","Kidnapped and trafficked twice - a sex worker's life in Sierra Leone","BBC Africa Eye focuses on the horrors of the lives of sex workers in the West African state.","Africa"
"https://www.bbc.com/news/articles/cn49d1zwz8wo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f790/live/6f1792b0-6ab7-11ef-b43e-6916dcba5cbf.jpg.webp","Gridlock in Nigeria amid fuel shortages and price hikes","Many people are left stranded as drivers queue for fuel and commuters wait at bus stations.","Africa"
"https://www.bbc.com/news/articles/cx2nl19qv85o","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/5f81/live/a6a84600-6c3f-11ef-8589-49d352db8330.jpg.webp","Keir Starmer facing flashpoints with the unions","Unions like Labour's workers' rights plans but Sir Keir will not find it all plain sailing at the TUC.","Politics"
"https://www.bbc.com/news/articles/clyn5l20z72o","2 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ad63/live/54d4b2c0-68f0-11ef-b970-9f202720b57a.jpg.webp","Málaga tourism: 'People feel the city is collapsing'","Protesting locals say hordes of tourists make the city feel like a ""theme park"".","Europe"
"https://www.bbc.com/travel/article/20240830-how-soon-is-too-soon-to-visit-after-a-disaster","30 Aug 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jmn6n1.jpg.webp","How soon is too soon to visit after a disaster?","As floods, storms and wildfires intensify around the world, these are a few key questions to ask when considering travelling to a destination recovering from a natural disaster.","Travel"
