"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cpv2zvzvp90o","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4292/live/e5fb2610-75ef-11ef-a846-83b5370dc374.jpg.webp","How both campaigns will seize on interest rate cut in US election","With less than 50 days until the US election, Anthony Zurcher looks at how the rate cut will shape the presidential campaign.","US & Canada"
"https://www.bbc.com/news/articles/ce3w2qkx1xlo","21 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9209/live/f3cfa520-7777-11ef-8c1a-df523ba43a9a.jpg.webp","Votes being counted in Sri Lanka's first election since protests ousted president","The cost of living is at the front of many voters' minds in what is expected to be a close race.","Asia"
"https://www.bbc.com/news/articles/cjwdq9ejl38o","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/e868/live/dcae3f70-7c11-11ef-9c71-ed5bdf61ad8b.jpg.webp","Tram strikes over 10 days to hit historic Goose Fair","Tram bosses say the strike action will have ""huge implications"" for the survival of the network.","Nottingham"
"https://www.bbc.com/news/articles/czxdd7qglp6o","17 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/af80/live/af64e4e0-7452-11ef-8c1a-df523ba43a9a.jpg.webp","Tuition fees must go up, unis say as term begins","As freshers get settled in, a group of unis is calling for inflation-linked fee hikes in England.","Family & Education"
"https://www.bbc.com/news/articles/cdd4me6qmd4o","22 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/a568/live/fb7b3e00-7fde-11ef-822c-a50726bfda2e.jpg.webp","Nigeria president pleads for 'patience' amid tough economy","Bola Tinubu says his controversial reforms are bearing fruit - protesters take to the streets regardless.","Africa"
"https://www.bbc.com/news/articles/c206l7pz5v1o","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/12a9/live/d092f090-78b1-11ef-b02d-c5f3b724a1ea.jpg.webp","Who is Sri Lanka’s new president Anura Kumara Dissanayake?","The former Marxist is considered a disruptor to the old discredited political order.","Asia"
"https://www.bbc.com/news/articles/c9wjz7jzqd0o","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0c2a/live/750619f0-6f47-11ef-8602-63d7f82252c1.jpg.webp","State pension set to rise by £460 next year","The latest figure comes as the government faces a backlash over cutting winter fuel payments for most pensioners.","Business"
"https://www.bbc.com/news/articles/cj4dddyn2lro","16 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8b67/live/cbf7e300-742f-11ef-9004-f370a3980358.jpg.webp","Mountain bikers in plea to save visitor centres","Coed y Brenin, in Gwynedd, plus Bwlch Nant yr Arian and Ynyslas, in Ceredigion, could be closed.","Wales"
"https://www.bbc.com/news/videos/cvg3gxxe4lxo","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2dad/live/866620d0-70bb-11ef-b02d-c5f3b724a1ea.jpg.webp","Clashes outside Argentine Congress after veto of pension rise","The protesters - many of them pensioners - tore down police barriers and hurled stones at police in Buenos Aires.","Latin America"
"https://www.bbc.com/news/articles/ckg5gvgw8zwo","14 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d390/live/43718870-720d-11ef-8c1a-df523ba43a9a.png.webp","Call for 'clear roadmap' on council funding","An authority is urging the government to provide ""clarity"" on spending.","Leicester"
"https://www.bbc.com/news/videos/c05j30799d8o","11 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/368f/live/78bfed90-700b-11ef-b282-4535eb84fe4b.jpg.webp","Watch key moments from Harris-Trump clash","The pair had a feisty first meeting, sharing personal insults and criticisms over policy.","US & Canada"
"https://www.bbc.com/news/articles/c8691011xgdo","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/5ad7/live/2f9b57b0-7bed-11ef-b282-4535eb84fe4b.jpg.webp","NHS consultants in Scotland offered 10.5% pay rise","The deal would be worth between £10,000 and £13,500 a year more for senior doctors.","Scotland"
"https://www.bbc.com/news/articles/c4gdnqd04exo","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/47bb/live/fbb59b90-6f4e-11ef-8602-63d7f82252c1.jpg.webp","Increase proposed for pension and benefits rates","An increase of 4.9% to contributory benefits and 4.5% to long-term care benefits is proposed.",""
"https://www.bbc.com/news/articles/cy0r779ygddo","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/b2f5/live/898fd0c0-6c4d-11ef-944c-9fead083e8e4.jpg.webp","Mixed jobs report adds to US economy concerns","Employers added 142,000 jobs in August, figures show, which was less than expected.","Business"
"https://www.bbc.com/news/articles/c4gdnl9pg1wo","11 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/63e2/live/728166d0-7037-11ef-b02d-c5f3b724a1ea.jpg.webp","Who won the Harris-Trump presidential debate?","Trump couldn't resist Harris's personal digs at the debate which threw him off message, writes Anthony Zurcher.","US & Canada"
"https://www.bbc.com/news/articles/cly3v02pl0qo","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/271d/live/bc2da480-7733-11ef-ba17-3d6535c0d7a9.jpg.webp","Economy minister accuses PM of 'disheartening' messaging","The prime minister is warning that next month’s budget is going to be ""painful"".","Northern Ireland"
"https://www.bbc.com/news/articles/ce80858n407o","17 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3961/live/e8ecb790-7409-11ef-a3b7-b33008c79206.png.webp","What's going on with Diwali in Leicester this year?","The world-famous event is changing this year - this is what you need to know.",""
"https://www.bbc.com/news/articles/clywyrl5x4vo","13 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/aa2d/live/ff7482b0-719b-11ef-b02d-c5f3b724a1ea.jpg.webp","Chain ferry out of action for repairs","The Sandbanks chain ferry is expected to be out of action until Saturday morning.","Dorset"
"https://www.bbc.com/news/articles/cvgdnpgq7nzo","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2aa2/live/86e9a600-76cc-11ef-8dfd-1d7b3f303e72.jpg.webp","Nike boss steps down as company veteran returns","The company looks to shake things up as demand for its trainers falters in international markets.","Business"
"https://www.bbc.com/news/articles/cn5r07kw24no","11 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/faa8/live/7e5deb00-6f91-11ef-b02d-c5f3b724a1ea.jpg.webp","Millions of pensioners will lose winter fuel cash after Commons vote","The attempt to halt the planned cuts was defeated by 348 to 228 votes - a majority of 120 - but it is not clear how many Labour MPs abstained.",""
