date,sentiment_score
2019-04-05,-0.4015
2019-04-08,-0.2023
2019-04-09,-0.1027
2019-04-11,0.4019
2019-04-19,0.4404
2019-04-22,0.10115
2019-04-29,-0.2023
2019-04-30,-0.652
2019-05-01,0.0
2019-05-02,0.0
2019-05-03,0.3818
2019-05-06,0.0
2019-05-15,-0.2732
2019-05-18,-0.4939
2019-05-20,-0.25
2019-05-28,0.0
2019-05-29,-0.34
2019-06-03,-0.5287
2019-06-10,-0.23835
2019-06-11,0.0
2019-06-12,0.0
2019-06-13,-0.16945
2019-06-14,-0.7543
2019-06-17,-0.4019
2019-06-18,-0.7717
2019-06-21,-0.4697
2019-06-26,0.0
2019-06-28,-0.2732
2019-07-11,-0.4215
2019-07-12,-0.5994
2019-07-15,0.0
2019-07-16,0.0
2019-07-21,-0.7964
2019-07-23,-0.38915
2019-07-24,-0.006800000000000028
2019-07-25,-0.0258
2019-07-27,0.296
2019-08-04,0.0
2019-08-07,-0.8271
2019-08-09,0.3071
2019-08-12,-0.2023
2019-08-13,0.0
2019-08-17,0.0
2019-08-19,0.5106
2019-08-23,-0.4215
2019-08-26,-0.5994
2019-09-14,-0.296
2019-09-16,-0.37494
2019-09-17,0.024999999999999967
2019-09-20,-0.2398
2019-09-21,-0.2263
2019-09-25,0.0
2019-09-26,0.3804
2019-09-27,0.0
2019-09-28,-0.1531
2019-09-30,0.009450000000000014
2019-10-01,0.0
2019-10-09,0.0
2019-10-10,0.0
2019-10-11,0.4588
2019-10-14,0.6369
2019-10-19,-0.539
2019-10-23,-0.2732
2019-11-01,-0.4588
2019-11-06,0.0
2019-11-09,0.0
2019-11-12,0.0
2019-11-13,0.0
2019-11-15,0.4215
2019-11-22,-0.09866666666666667
2019-11-25,-0.34
2019-11-28,-0.6249
2019-11-29,-0.6249
2019-12-11,-0.2182
2019-12-20,0.5499
2019-12-22,0.2263
2019-12-24,-0.3318
2019-12-27,0.14845
2020-01-03,-0.20095
2020-01-05,-0.2263
2020-01-06,-0.3425
2020-01-07,0.05729999999999998
2020-01-08,0.0
2020-01-09,-0.5581999999999999
2020-01-10,0.15445
2020-01-11,-0.5267
2020-01-18,0.6908
2020-01-23,-0.4588
2020-01-24,0.0
2020-01-30,0.07535
2020-02-01,0.0
2020-02-06,-0.5256
2020-02-14,0.0
2020-02-18,0.34
2020-02-21,0.0
2020-02-22,-0.4767
2020-02-28,0.16455
2020-03-03,-0.148
2020-03-04,0.0
2020-03-09,0.10205
2020-03-11,0.4019
2020-03-17,0.0
2020-03-18,0.0
2020-03-19,0.0
2020-03-27,-0.1531
2020-04-03,0.0
2020-04-13,-0.4404
2020-04-14,-0.6597
2020-04-30,-0.0772
2020-05-01,0.2732
2020-05-09,0.6369
2020-05-12,-0.1591
2020-05-18,0.743
2020-05-19,-0.3612
2020-05-21,-0.1531
2020-05-22,0.5267
2020-05-27,-0.7717
2020-06-01,-0.7783
2020-06-07,0.0
2020-06-18,0.0
2020-07-22,-0.6249
2020-07-25,-0.4404
2020-07-27,0.0
2020-08-29,-0.34
2020-09-11,-0.5994
2020-09-22,-0.4215
2020-09-23,-0.4215
2020-09-25,0.0
2020-10-12,0.0
2020-10-15,0.1027
2020-10-23,0.0
2020-11-04,-0.3182
2020-11-25,-0.2732
2020-12-02,-0.3182
2020-12-04,-0.1531
2020-12-05,-0.6249
2020-12-08,0.0
2020-12-23,-0.2732
2020-12-24,0.0
2020-12-25,0.4939
2020-12-30,0.4767
2020-12-31,0.5875
2021-01-09,0.2023
2021-01-10,0.128
2021-01-14,0.6705
2021-01-22,0.0
2021-01-25,0.0
2021-02-09,0.3818
2021-02-11,0.0
2021-02-18,-0.34
2021-03-04,0.0
2021-03-07,0.2235
2021-03-08,0.0
2021-03-11,0.34
2021-03-14,0.4767
2021-03-15,0.7506
2021-03-18,0.0
2021-03-27,0.0
2021-04-03,0.1779
2021-04-06,-0.3818
2021-04-07,-0.296
2021-04-10,-0.5574
2021-04-11,0.0
2021-04-14,0.6369
2021-04-15,0.5719
2021-04-16,-0.1531
2021-04-19,0.1779
2021-04-20,0.5106
2021-05-05,0.0
2021-05-08,0.0
2021-05-12,-0.539
2021-05-18,0.1779
2021-05-24,0.6124
2021-05-26,-0.357
2021-06-01,-0.0772
2021-06-04,0.3612
2021-06-12,0.0
2021-06-19,0.0
2021-06-21,0.3612
2021-06-23,0.0
2021-07-13,0.4588
2021-07-29,-0.0644
2021-08-03,-0.296
2021-08-10,0.0
2021-08-18,0.0
2021-08-28,0.0
2021-09-01,0.0
2021-09-11,0.0
2021-09-14,-0.296
2021-09-23,0.0
2021-10-05,-0.041700000000000015
2021-10-12,-0.2732
