"o-teaser__tag","o-teaser__tag href","js-teaser-heading-link","js-teaser-heading-link href","js-teaser-standfirst-link","js-teaser-standfirst-link href","o-teaser__timestamp-date","o-teaser__image-container href","o-teaser__image src"
"Global Economy","https://www.ft.com/stream/29e67a92-a3b8-410c-9139-15abe9b47e12","Crisis memory, geopolitics and the risks of financial contagion","https://www.ft.com/content/10584fae-9bcc-42a3-987f-902d6415368b","The question of how well we can deal with shocks in our future is not at all clear","https://www.ft.com/content/10584fae-9bcc-42a3-987f-902d6415368b","June 21, 2024","https://www.ft.com/content/10584fae-9bcc-42a3-987f-902d6415368b","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fdc559ed1-b888-4d0a-9657-7cbb04b33bb0.jpg?source=next&fit=scale-down&dpr=2&width=240"
"UK general election 2024","https://www.ft.com/stream/717267f4-5df5-4560-99df-922647226b8d","Labour can increase spending without raising tax","https://www.ft.com/content/f5f5f5ce-0ce6-4627-b512-689cc72da106","It involves austerity, some quirks in UK fiscal rules and ensuring government action requires private investment","https://www.ft.com/content/f5f5f5ce-0ce6-4627-b512-689cc72da106","June 19, 2024","https://www.ft.com/content/f5f5f5ce-0ce6-4627-b512-689cc72da106","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F588e5c5d-0153-4d1f-ab90-300add29a0f9.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Argentine politics","https://www.ft.com/stream/86dfd6e7-be56-4587-9619-073e908b5f5e","Argentina’s Milei turns to an ‘anti-Milei’ to save his project","https://www.ft.com/content/f6d55896-c923-4cf2-8d8f-10f36e6144ae","Guillermo Francos, the libertarian president’s new ‘super minister’, is a veteran political operator","https://www.ft.com/content/f6d55896-c923-4cf2-8d8f-10f36e6144ae","June 3, 2024","https://www.ft.com/content/f6d55896-c923-4cf2-8d8f-10f36e6144ae","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F35922cc2-be25-4b7e-87e0-9d9998725267.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Latin America","https://www.ft.com/stream/412524e0-9fc1-4225-9879-106749874eb4","Borderlands","https://www.ft.com/content/24bab8c5-58bb-49ba-8a5b-a90924d8c2b0","This series examines the unprecedented scale of migration, which is stoking political and economic crises on both sides of the Atlantic","https://www.ft.com/content/24bab8c5-58bb-49ba-8a5b-a90924d8c2b0","April 11, 2024","https://www.ft.com/content/24bab8c5-58bb-49ba-8a5b-a90924d8c2b0","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F2338262f-b374-4c02-b217-4ce829ffa69e.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Chinese politics & policy","https://www.ft.com/stream/02249f44-ac1f-48d6-bba5-820471c18ca5","China-Russia: an economic ‘friendship’ that could rattle the world","https://www.ft.com/content/19eb54ba-f6f7-48ba-a586-b8a113396955","After Putin’s invasion of Ukraine trade links between the two countries have strengthened. So have Beijing’s geopolitical ambitions","https://www.ft.com/content/19eb54ba-f6f7-48ba-a586-b8a113396955","May 15, 2024","https://www.ft.com/content/19eb54ba-f6f7-48ba-a586-b8a113396955","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F8ca748c9-470e-4bcc-8092-92f23e2ca370.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Central banks","https://www.ft.com/stream/a2ba2f54-495a-448f-9be5-09875e2f7083","European interest rates are set to diverge from the US","https://www.ft.com/content/f76884e9-bc66-4a5d-8445-4f842af5ef68","It may be a bumpy ride, although the latest evidence is encouraging","https://www.ft.com/content/f76884e9-bc66-4a5d-8445-4f842af5ef68","May 7, 2024","https://www.ft.com/content/f76884e9-bc66-4a5d-8445-4f842af5ef68","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F3d179215-7746-4cda-88d3-d41c336c5ac0.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Mubadala Investment Company PJSC","https://www.ft.com/stream/bbbc3ffb-8c8f-43f8-be45-b040373f195b","Mubadala Capital plans $13.5bn biofuels investment in Brazil","https://www.ft.com/content/bef4fc45-3837-45fb-8704-a18483386dbf","Arm of Abu Dhabi sovereign wealth fund also backs launch of new stock exchange in South American nation","https://www.ft.com/content/bef4fc45-3837-45fb-8704-a18483386dbf","May 5, 2024","https://www.ft.com/content/bef4fc45-3837-45fb-8704-a18483386dbf","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F5d2c2468-90a0-4370-9d08-9b6b7ce139dc.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Economics books","https://www.ft.com/stream/98d5f584-2e29-4e57-a274-0fd84ecd542b","The value of models and theory — the pick of new economics books","https://www.ft.com/content/329bf432-0092-42bc-897f-179a85bb711b","A radical approach to the international economy; empowering local governance; and lessons from Poland and Vietnam","https://www.ft.com/content/329bf432-0092-42bc-897f-179a85bb711b","July 15, 2024","https://www.ft.com/content/329bf432-0092-42bc-897f-179a85bb711b","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb13e54a3-6773-4955-8207-11ff2bb7ef61.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Venice Biennale 2024","https://www.ft.com/content/ec998702-eca9-40a4-b551-bd29d3252da5","Myths, history and trauma haunt Lebanon’s pavilion","https://www.ft.com/content/b39dc6a4-8434-446d-9397-d5d2039843cd","Mounira Al Solh’s presentation at the Venice Biennale is inspired by the legendary figure of Europa","https://www.ft.com/content/b39dc6a4-8434-446d-9397-d5d2039843cd","April 13, 2024","https://www.ft.com/content/b39dc6a4-8434-446d-9397-d5d2039843cd","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F0e01d04c-a1ef-4541-a8c4-e509a1f0d81c.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Borderlands","https://www.ft.com/content/24bab8c5-58bb-49ba-8a5b-a90924d8c2b0","How Mexico’s ‘kabuki pantomime’ fails to stop US-bound migrants","https://www.ft.com/content/d0676cde-316b-4f73-badb-285c66652851","Dysfunction and corruption are disrupting efforts to stem the flow of people towards America","https://www.ft.com/content/d0676cde-316b-4f73-badb-285c66652851","April 21, 2024","https://www.ft.com/content/d0676cde-316b-4f73-badb-285c66652851","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F8fce5f17-eaa7-47fb-8552-be1ab7cf22fb.jpg?source=next&fit=scale-down&dpr=2&width=240"
