"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/clywyrl5x4vo","15 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/aa2d/live/ff7482b0-719b-11ef-b02d-c5f3b724a1ea.jpg.webp","Chain ferry out of action for repairs","The Sandbanks chain ferry is expected to be out of action until Saturday morning.","Dorset"
"https://www.bbc.com/news/articles/cvg4v9nn3kzo","23 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ce7c/live/0e5d9400-6126-11ef-af52-71029fe3b80e.jpg.webp","No blank cheques for unions over pay, says Reeves","The Conservatives say Labour has lost control of public sector pay and is ""being played by"" the unions.","Politics"
"https://www.bbc.com/news/articles/cze5875z0z7o","28 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9219/live/853c5290-64a1-11ef-b43e-6916dcba5cbf.jpg.webp","First of six new mental healthcare facilities to open","""Challenges and delays"" have hit other parts of the £150m project, the NHS trust responsible has admitted.","Derby"
"https://www.bbc.com/news/articles/cy547kp32p4o","29 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/b431/live/a87ae4a0-6614-11ef-a04d-25d7e12eecf1.jpg.webp","Union votes to accept bin worker pay deal","GMB Scotland said public sector pay deals should not be blamed for spending cuts.","Scotland Politics"
"https://www.bbc.com/news/articles/crmw0n0mj9ro","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4a39/live/f0130a70-6a12-11ef-bf9f-39ea53f11e06.jpg.webp","Spending cuts set the tone for tough financial choices to come","The Finance Secretary Shona Robison detailed £500m of cuts as MSPs returned from their summer break.","Scotland Politics"
"https://www.bbc.com/news/articles/cj35kk42k5vo","1 day ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/7b7c/live/24e98950-7089-11ef-b34b-d51c0d1b0fff.jpg.webp","Ohio leaders dismiss claims of migrants eating pets","Governor Mike DeWine defended Haitians in the town of Springfield as people who ""work very, very hard"".","US & Canada"
"https://www.bbc.com/news/articles/c2edydj019ro","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/3bbd/live/e2dc9ca0-6c5a-11ef-936b-6532a2e8c3ce.jpg.webp","Mortgages yet to drop despite interest rate fall","Most Guernsey banks have kept rates the same despite a drop in interest rates, unlike the UK.","UK"
"https://www.bbc.com/news/articles/c4gl3qd1g90o","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/8449/live/5935b960-6dc6-11ef-b43e-6916dcba5cbf.jpg.webp","Don't mention Trump - how Republicans try to sway women voters","Party leaders in swing states say they focus on issues to win back women put off by Trump's personality.","US & Canada"
"https://www.bbc.com/news/articles/c04903zr2neo","4 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/8b9e/live/5e84c0d0-6f2b-11ef-b02d-c5f3b724a1ea.jpg.webp","Rachel Reeves urges Labour MPs to back winter fuel cut","Some Labour MPs are uneasy over the move to scrap winter fuel payments for millions of pensioners.","Politics"
"https://www.bbc.com/news/articles/cwy343z53l1o","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/aead/live/a0cd6930-6f83-11ef-8c1a-df523ba43a9a.png.webp","What are Harris and Trump's policies?","Economy, immigration, abortion and other top issues - here is where the two candidates stand.","US & Canada"
