Date,Close/Last,Open,High,Low
02/23/2023,1754.10,1725.07,1762.54,1725.07
02/22/2023,1725.07,1743.51,1753.02,1712.03
02/21/2023,1743.51,1743.21,1755.37,1737.46
02/17/2023,1743.21,1812.96,1812.96,1737.00
02/16/2023,1812.96,1840.76,1842.98,1811.52
02/15/2023,1840.76,1874.92,1874.92,1817.38
02/14/2023,1874.92,1866.56,1882.98,1848.57
02/13/2023,1866.56,1873.80,1873.80,1844.71
02/10/2023,1873.80,1793.93,1876.22,1793.93
02/09/2023,1793.93,1808.94,1815.22,1791.89
02/08/2023,1808.94,1815.29,1827.90,1793.88
02/07/2023,1815.29,1747.00,1817.77,1747.00
02/06/2023,1747.00,1760.35,1771.40,1722.27
02/03/2023,1760.35,1766.67,1803.76,1757.95
02/02/2023,1766.67,1814.92,1814.92,1749.91
02/01/2023,1814.92,1860.99,1860.99,1789.60
01/31/2023,1860.99,1859.34,1869.64,1836.65
01/30/2023,1859.34,1906.46,1906.46,1857.50
01/27/2023,1906.46,1941.31,1948.40,1905.23
01/26/2023,1941.31,1882.54,1941.80,1882.54
01/25/2023,1882.54,1879.23,1882.54,1847.75
01/24/2023,1879.23,1882.95,1883.12,1849.04
01/23/2023,1882.95,1877.80,1902.74,1877.80
01/20/2023,1877.80,1852.08,1879.16,1840.78
01/19/2023,1852.08,1824.21,1858.12,1811.35
01/18/2023,1824.21,1843.69,1887.78,1823.10
01/17/2023,1843.69,1840.64,1862.76,1835.26
01/13/2023,1840.64,1836.05,1845.19,1819.79
01/12/2023,1836.05,1798.22,1850.53,1798.22
01/11/2023,1798.22,1790.76,1813.06,1780.81
01/10/2023,1790.76,1781.36,1795.68,1765.47
01/09/2023,1781.36,1780.28,1817.91,1775.65
01/06/2023,1780.28,1747.15,1798.97,1747.15
01/05/2023,1747.15,1709.51,1751.74,1708.35
01/04/2023,1709.51,1713.07,1721.48,1681.76
01/03/2023,1713.07,1787.25,1787.25,1697.82
12/30/2022,1787.25,1777.77,1789.61,1771.10
12/29/2022,1777.77,1759.32,1784.84,1753.03
12/28/2022,1759.32,1801.74,1801.74,1753.71
12/27/2022,1801.74,1784.09,1806.66,1784.09
12/23/2022,1784.09,1726.03,1784.13,1726.03
12/22/2022,1726.03,1770.87,1773.07,1693.01
12/21/2022,1770.87,1735.76,1777.55,1735.76
12/20/2022,1735.76,1711.31,1747.18,1710.86
12/19/2022,1711.31,1706.45,1733.93,1698.36
12/16/2022,1706.45,1731.18,1731.18,1682.91
12/15/2022,1731.18,1739.14,1739.14,1701.65
12/14/2022,1739.14,1750.45,1771.05,1725.92
12/13/2022,1750.45,1723.25,1769.97,1723.25
12/12/2022,1723.25,1678.46,1725.74,1678.46
12/09/2022,1678.46,1716.01,1728.26,1677.96
12/08/2022,1716.01,1732.66,1774.05,1708.34
12/07/2022,1732.66,1739.71,1763.52,1720.63
12/06/2022,1739.71,1786.70,1800.19,1728.01
12/05/2022,1786.70,1842.55,1872.67,1775.24
12/02/2022,1842.55,1858.49,1869.49,1831.86
12/01/2022,1858.49,1875.78,1895.25,1857.86
11/30/2022,1875.78,1867.73,1898.55,1848.74
11/29/2022,1867.73,1840.30,1883.24,1840.30
11/28/2022,1840.30,1890.98,1890.98,1834.19
11/25/2022,1890.98,1893.49,1911.62,1888.78
11/23/2022,1893.49,1915.25,1915.25,1873.71
11/22/2022,1915.25,1854.72,1918.86,1854.72
11/21/2022,1854.72,1883.48,1883.48,1797.39
11/18/2022,1883.48,1906.93,1906.93,1846.38
11/17/2022,1906.93,1871.47,1907.94,1861.35
11/16/2022,1895.91,1938.98,1938.98,1889.02
11/15/2022,1938.98,1924.94,1942.11,1914.53
11/14/2022,1911.66,1913.30,1945.14,1911.16
11/11/2022,1919.56,1865.63,1926.38,1865.63
11/10/2022,1865.63,1826.32,1866.82,1826.32
11/09/2022,1826.32,1910.34,1910.34,1821.65
11/08/2022,1910.34,1914.26,1919.02,1889.52
11/07/2022,1914.26,1886.65,1922.53,1886.65
11/04/2022,1886.65,1864.15,1925.91,1863.18
11/03/2022,1864.15,1827.58,1876.30,1815.39
11/02/2022,1827.58,1867.16,1870.75,1823.35
11/01/2022,1867.16,1838.38,1875.30,1838.38
10/31/2022,1838.38,1831.08,1864.29,1810.13
10/28/2022,1831.08,1826.91,1856.08,1801.37
10/27/2022,1826.91,1820.09,1861.46,1820.09
10/26/2022,1820.09,1790.82,1832.63,1790.82
10/25/2022,1790.82,1795.48,1802.77,1778.04
10/24/2022,1795.48,1793.31,1811.45,1781.69
10/21/2022,1793.31,1748.17,1795.43,1748.17
10/20/2022,1748.17,1738.71,1777.95,1738.71
10/19/2022,1738.71,1694.88,1746.36,1694.88
10/18/2022,1694.88,1680.83,1709.09,1662.92
10/17/2022,1680.83,1658.67,1715.74,1658.67
10/14/2022,1658.67,1723.45,1729.81,1657.22
10/13/2022,1723.45,1659.73,1735.91,1640.63
10/12/2022,1659.73,1641.93,1670.86,1618.93
10/11/2022,1641.93,1661.28,1672.20,1621.84
10/10/2022,1661.28,1694.90,1714.36,1655.01
10/07/2022,1694.90,1707.17,1729.25,1682.89
10/06/2022,1707.17,1685.87,1711.93,1668.78
10/05/2022,1685.87,1666.11,1698.91,1642.67
10/04/2022,1666.11,1593.39,1666.27,1593.39
10/03/2022,1593.39,1503.95,1602.45,1503.95
09/30/2022,1503.95,1511.56,1523.43,1485.14
09/29/2022,1511.56,1511.29,1514.82,1472.44
09/28/2022,1511.29,1437.18,1516.79,1437.18
09/27/2022,1437.18,1415.61,1461.61,1415.61
09/26/2022,1415.61,1453.59,1463.91,1415.38
09/23/2022,1453.59,1567.29,1567.29,1441.27
09/22/2022,1567.29,1572.00,1606.53,1566.60
09/21/2022,1572.00,1597.36,1629.06,1571.74
09/20/2022,1597.36,1599.44,1605.93,1575.43
09/19/2022,1599.44,1601.78,1601.78,1555.25
09/16/2022,1601.78,1624.67,1624.67,1574.53
09/15/2022,1624.67,1672.82,1672.82,1617.89
09/14/2022,1672.82,1633.64,1687.51,1633.64
09/13/2022,1633.64,1672.47,1675.45,1627.76
09/12/2022,1672.47,1645.19,1693.23,1645.19
09/09/2022,1645.19,1607.31,1653.03,1607.31
09/08/2022,1607.31,1602.63,1614.18,1587.64
09/07/2022,1602.63,1626.07,1626.07,1576.64
09/06/2022,1626.07,1642.91,1660.34,1618.69
09/02/2022,1642.91,1606.27,1660.88,1606.27
09/01/2022,1606.27,1648.43,1648.43,1587.48
08/31/2022,1648.43,1666.99,1677.61,1617.81
08/30/2022,1666.99,1728.95,1728.95,1654.52
08/29/2022,1728.95,1702.64,1752.36,1697.86
08/26/2022,1702.64,1717.54,1737.08,1694.75
08/25/2022,1717.54,1702.54,1724.88,1702.54
08/24/2022,1702.54,1685.54,1705.27,1676.53
08/23/2022,1685.54,1629.93,1700.01,1629.93
08/22/2022,1629.93,1629.69,1635.93,1589.42
08/19/2022,1629.69,1627.94,1635.69,1614.08
08/18/2022,1627.94,1592.98,1630.13,1592.98
08/17/2022,1592.98,1574.77,1605.95,1563.47
08/16/2022,1574.77,1579.62,1597.31,1562.80
08/15/2022,1579.62,1616.89,1616.89,1534.41
08/12/2022,1616.89,1605.63,1617.72,1583.61
08/11/2022,1605.63,1556.37,1617.71,1556.37
08/10/2022,1556.37,1543.19,1564.66,1517.66
08/09/2022,1543.19,1514.23,1561.16,1514.23
08/08/2022,1514.23,1502.55,1526.54,1502.55
08/05/2022,1502.55,1470.67,1514.09,1452.90
08/04/2022,1470.67,1520.40,1520.40,1467.69
08/03/2022,1520.40,1566.24,1581.30,1511.41
08/02/2022,1566.24,1561.66,1582.11,1549.31
08/01/2022,1561.66,1592.41,1592.41,1540.08
07/29/2022,1592.41,1535.46,1596.03,1535.46
07/28/2022,1535.46,1533.64,1558.61,1512.66
07/27/2022,1533.64,1494.39,1540.98,1489.20
07/26/2022,1494.39,1510.48,1534.84,1483.38
07/25/2022,1510.48,1452.11,1510.85,1452.11
07/22/2022,1452.11,1468.60,1483.99,1443.69
07/21/2022,1468.60,1498.69,1498.69,1426.13
07/20/2022,1498.69,1482.27,1504.91,1462.13
07/19/2022,1482.27,1435.50,1485.04,1434.69
07/18/2022,1435.50,1401.89,1458.88,1401.89
07/15/2022,1401.89,1369.28,1402.88,1369.28
07/14/2022,1369.28,1404.30,1404.30,1328.78
07/13/2022,1404.30,1405.40,1431.45,1392.11
07/12/2022,1405.40,1441.18,1441.18,1381.83
07/11/2022,1441.18,1455.69,1455.69,1420.18
07/08/2022,1455.69,1458.26,1480.77,1434.16
07/07/2022,1458.26,1405.01,1469.36,1405.01
07/06/2022,1405.01,1437.45,1442.03,1361.87
07/05/2022,1437.45,1509.23,1509.23,1403.81
07/01/2022,1509.23,1492.60,1515.77,1457.51
06/30/2022,1492.60,1520.67,1523.86,1471.92
06/29/2022,1520.67,1579.36,1609.43,1516.98
06/28/2022,1579.36,1531.69,1601.66,1531.69
06/27/2022,1531.69,1480.22,1540.36,1480.22
06/24/2022,1480.22,1454.45,1513.99,1454.45
06/23/2022,1454.45,1519.45,1539.43,1438.05
06/22/2022,1519.45,1590.42,1590.42,1504.13
06/21/2022,1590.42,1515.37,1599.75,1515.37
06/17/2022,1515.37,1608.04,1608.04,1495.44
06/16/2022,1608.04,1714.00,1714.00,1596.02
06/15/2022,1714.00,1747.85,1751.74,1683.46
06/14/2022,1747.85,1739.69,1804.90,1724.50
06/13/2022,1739.69,1831.37,1831.37,1702.15
06/10/2022,1831.37,1859.15,1859.27,1810.04
06/09/2022,1859.15,1898.18,1898.18,1858.28
06/08/2022,1898.18,1899.84,1918.02,1889.04
06/07/2022,1899.84,1845.39,1900.07,1841.88
06/06/2022,1845.39,1839.77,1856.67,1830.76
06/03/2022,1839.77,1817.29,1844.75,1817.29
06/02/2022,1817.29,1819.90,1832.32,1795.81
06/01/2022,1819.90,1790.40,1831.80,1790.40
05/31/2022,1790.40,1805.93,1858.62,1786.75
05/27/2022,1805.93,1771.32,1806.37,1762.04
05/26/2022,1771.32,1751.56,1782.83,1751.56
