"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cz6xp1gejv6o","13 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3e4e/live/bee4a910-5935-11ef-963c-15e65985d68d.jpg.webp","NI unemployment rate below 2% for the first time","Northern Ireland’s economy has performed better this year than many economists had expected.","Northern Ireland"
"https://www.bbc.com/news/articles/cvg5edmmjnmo","20 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/99d6/live/9f049a50-5aee-11ef-b2d2-cdb23d5d7c5b.jpg.webp","Bursaries to help low-income students go to uni","Eligible students could be awarded up to £1,600 for each academic year.","Wiltshire"
"https://www.bbc.com/news/articles/c20le73e54vo","26 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9ed5/live/fb41ac70-609a-11ef-b43e-6916dcba5cbf.jpg.webp","Has the mystery of a beach 'ghost' railway been solved?","An abandoned railway track has become an unlikely tourist attraction - but why is is there?","Norfolk"
"https://www.bbc.com/travel/article/20240820-eight-of-the-worlds-most-extraordinary-tiny-hotel-rooms","22 Aug 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jkrxvx.jpg.webp","The world's most extraordinary tiny hotel rooms","From upcycled sewer pipes to spheres suspended in the sky, capsule hotels have been reinvented for a new generation of travellers.","Travel"
"https://www.bbc.com/news/articles/c2l1000q4ywo","13 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/5549/live/39655760-589c-11ef-81ca-012e9993ac1f.jpg.webp","UK unemployment falls slightly as pay growth slows","The UK's unemployment rate fell to 4.2% in the three months to the end of June, figures suggest.","Business"
"https://www.bbc.com/news/articles/ce9zjgex85po","7 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d761/live/8e7058a0-547c-11ef-aebc-6de4d31bf5cd.jpg.webp","Rate cuts to fuel house price rises, Halifax says","The mortgage lender says lower borrowing costs could fuel a ""modest"" rise in house prices.","Business"
"https://www.bbc.com/news/articles/cgjv89ewn11o","19 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3db0/live/db010fe0-5dad-11ef-8c32-f3c2bc7494c6.jpg.webp","'He was unforgettable' and 'Royal role models'","Front pages include the Sussexes finishing their Colombia tour and tributes to the French actor Alain Delon.","The Papers"
"https://www.bbc.com/news/articles/credj9geenno","8 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/b910/live/4ffc6ca0-54ed-11ef-8f0f-0577398c3339.jpg.webp","House hunting picks up as some offer after 20 minutes","Surveyors expect property sales to pick up in the autumn, as a survey suggests buyers make swift decisions.","Business"
"https://www.bbc.com/news/articles/c4glpz587q5o","12 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/69c5/live/f6cc58c0-5659-11ef-8177-3703f85c53e5.jpg.webp","Bad weather brings rise in insurance claims","Payouts hit a high but homeowners faced hikes in premiums and providers face further criticism.","Business"
"https://www.bbc.com/news/articles/cx924r4d5yno","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/4e4c/live/8b7cd8a0-6f4b-11ef-b02d-c5f3b724a1ea.png.webp","Where Kamala Harris stands on 10 key issues","Some of the vice-president's views have changed since she first entered politics.","US & Canada"
"https://www.bbc.com/news/articles/cvgdd0xvxd7o","5 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c75b/live/7e428900-5330-11ef-b68c-fffc4c1fcaa7.png.webp","Is the US really heading for recession?","Weak jobs figures have spooked stock markets but does this mean a downturn is on the way?","Business"
